Unity Key,English,German,Italian,Ukrainian,Bulgarian,French,Polish,Portuguese,Hungarian,Japanese,Korean,Russian,Spanish,Thai,Chinese (Simplified),"Chinese (Traditional, Hong Kong)",Indonesian,Turkish,Spanish Latin American
modio_languagecode,en,de,it,uk,bg,fr,pl,pt,hu,ja,ko,ru,es,th,zh-CN,zh-TW,id,tr,es-LA
modio_btn_agree,Agree,Zustimmen,Accetta,Погоджуюсь,Приемане,Accepter,Zgoda,Aceitar,Egyetértek,同意する,동의,Соглашаюсь,Aceptar,ยอมรับ,同意,同意,Setuju,Kabul Et,Aceptar
modio_auth_header_authentication,Authentication,Authentifizierung,Autenticazione,Автентифікація,Удостоверяване,S’identifier,Weryfikacja,Autenticação,Hitelesítés,認証,인증,Авторизация,Autenticación,การยืนยันตัวตน,验证,驗證,Pengesahan,Doğrulama,Autenticación
modio_auth_failed_header,Authentication Failed,Authentifizierung fehlgeschlagen,Autenticazione non riuscita,Помилка автентифікації,Неуспешно удостоверяване,Échec d’identification,Weryfikacja nieudana,Autenticação falhada,Hitelesítés sikertelen,認証できませんでした,인증 실패,Ошибка авторизации,Error al autenticar,การยืนยันตัวตนล้มเหลว,验证失败,驗證失敗,Pengesahan gagal,Doğrulama Başarısız Oldu,Error de autenticación
modio_btn_back,Back,Zurück,Indietro,Назад,Назад,Retour,Wstecz,Voltar,Vissza,戻る,뒤로,Назад,Volver,ย้อนกลับ,返回,返回,Kembali,Geri,Atrás
modio_btn_menu_browsemods,Browse Mods,Mods durchsuchen,Sfoglia le mod,Переглянути моди,Преглед на модове,Parcourir les mods,Przeglądaj mody,Procurar mods,Modok böngészése,Modを見る,모드 탐색,Просмотр модов,Explorar mods,ค้นหาม็อด,浏览模组,瀏覽模組,Telusuri Mod,Modlara Göz At,Buscar mods
modio_auth_email_disclaimer,By continuing you agree to the Terms of Use and Privacy Policy and must be 13 years of age or older.,"Wenn du fortfährst, stimmst du den Nutzungsbedingungen und der Datenschutzerklärung zu. Außerdem bestätigst du hiermit, dass du mindestens 13 Jahre alt bist.","Continuando, accetti i Termini di utilizzo e l'Informativa sulla privacy e dichiari di avere almeno 13 anni di età.","Продовжуючи, ви погоджуєтеся з Умовами використання й Політикою конфіденційності та підтверджуєте, що ваш вік від 13 років.","Като продължите, вие приемате Условията за ползване и Политиката за поверителност и трябва да имате навършени 13 години.","En continuant, vous acceptez les conditions générales d’utilisation et la politique de confidentialité et devez être âgé de 13 ans ou plus.","Kontynuując, zgadzasz się na Regulamin Użytkowania i Politykę Prywatności oraz potwierdzasz, że masz ukończone 13 lat.","Ao continuar, aceitas os Termos de Utilização e a Política de Privacidade, e tens de ser maior de 13 anos.","A folytatással elfogadod a Használati feltételeket és az Adatvédelmi szabályzatot, valamint hogy betöltötted a 16 éves kort.",続行すると、利用規約およびプライバシーポリシーに同意したとみなされます。また、利用するには13歳以上の年齢制限があります。,"계속 진행하시려면 이용 약관 및 개인정보 보호정책에 동의하셔야 하며, 13세 이상이어야 합니다.","Продолжая, вы соглашаетесь с Условиями использования и Политикой конфиденциальности и подтверждаете, что вы не младше 13 лет.","Si continúas, aceptas las condiciones de uso y la política de privacidad, y confirmas haber cumplido los 13 años.",เมื่อดำเนินการต่อจะหมายความว่าคุณยอมรับข้อตกลงในการใช้งานและนโยบายความเป็นส่วนตัว และจะต้องมีอายุ 13 ปีขึ้นไป,继续使用即表示您已同意我们的使用条款和隐私政策，且已年满 13 周岁。,繼續使用表示您同意使用條款及隱私權政策，且您已年滿 13 歲。,"Dengan melanjutkannya, Anda setuju dengan Ketentuan Penggunaan dan Kebijakan Privasi, dan Anda berusia 13 tahun atau ke atas.",Devam ederek Kullanım Koşulları ve Gizlilik Politikası'nı kabul ettiğini ve en az 13 yaşında olduğunu onaylarsın.,"Al continuar, aceptas los Términos de uso y la Política de privacidad y debes tener 13 años o más."
modio_btn_cancel,Cancel,Abbrechen,Annulla,Скасувати,Отказ,Annuler,Anuluj,Cancelar,Mégse,キャンセル,취소,Отмена,Cancelar,ยกเลิก,取消,取消,Batal,İptal Et,Cancelar
modio_btn_confirm,Confirm,Bestätigen,Conferma,Підтвердити,Потвърждаване,Confirmer,Potwierdź,Confirmar,Megerősítés,確定,확인,Подтвердить,Confirmar,ยืนยัน,确认,確認,Konfirmasi,Onayla,Confirmar
modio_btn_clearall,Clear All,Alle löschen,Ripristina tutto,Очистити все,Изчисти всичко,Tout désactiver,Wyczyść wszystko,Limpar tudo,Összes törlése,すべて解除,모두 지우기,Очистить все,Borrar todo,ล้างทั้งหมด,清除全部,清除全部,Hapus Semua,Tümünü Temizle,Borrar todo
modio_inputprompt_clearallfilters,Clear All Filters,Alle Filter löschen,Ripristina tutti i filtri,Очистити всі фільтри,Изчисти всички филтри,Désactiver tous les filtres,Wyczyść wszystkie filtry,Limpar todos os filtros,Összes szűrő törlése,すべてのフィルタを解除,모든 필터 지우기,Очистить все фильтры,Borrar todos los filtros,ล้างตัวกรองทั้งหมด,清除所有筛选器,清除所有篩選器,Hapus Semua Filter,Tüm Filtreleri Temizle,Borrar todos los filtros
modio_btn_clearsearch,Clear Search,Suche löschen,Ripristina la ricerca,Очистити поле пошуку,Изчисти търсенето,Réinitialiser la recherche,Wyczyść wyszukiwanie,Limpar pesquisa,Keresés törlése,検索結果をリセット,검색 지우기,Очистить поиск,Borrar búsqueda,ล้างการค้นหา,清除搜索,清除搜尋,Hapus Pencarian,Aramayı Temizle,Borrar búsqueda
modio_btn_cleartags,Clear Tags,Tags löschen,Ripristina tutti i tag,Очистити ярлики,Изчисти тагове,Réinitialiser les balises,Wyczyść tagi,Limpar etiquetas,Címkék törlése,タグをリセット,태그 지우기,Очистить метки,Borrar etiquetas,ล้างแท็ก,清除标签,清除標籤,Hapus Tag,Etiketleri Temizle,Borrar etiquetas
modio_btn_collapsedesc,Collapse Description,Beschreibung einklappen,Chiudi la descrizione,Згорнути опис,Свиване на описанието,Fermer la description,Zwiń opis,Reduzir descrição,A leírás összecsukása,説明を閉じる,설명 닫기,Свернуть описание,Plegar descripción,ย่อคำอธิบาย,收起描述,收起說明,Ciutkan Deskripsi,Açıklamayı Küçült,Minimizar descripción
modio_modview_header_purchase,Confirm Purchase,Kauf bestätigen,Conferma acquisto,Підтвердити купівлю,Потвърдете покупката,Confirmer l’achat,Potwierdź zakup,Confirmar compra,Vásárlás megerősítése,購入を確定,구매 확인,Подтвердить покупку,Confirmar compra,ยืนยันการซื้อ,确认购买,確認購買,Konfirmasi Pembelian,Satın Alımı Onayla,Confirmar compra
modio_modstate_downloading,Downloading,Wird heruntergeladen,Download in corso,Завантажується,Изтегля се,Téléchargement en cours,Pobieranie,A transferir,Letöltés,ダウンロード中,다운로드 중,Загрузка,Descargando,กำลังดาวน์โหลด,正在下载,正在下載,Sedang Mengunduh,İndiriliyor,Descargando
